age,monthly_income,investment_knowledge,investment_experience,num_assets,time_horizon,goal_type,investment_frequency,dependents,market_sensitivity,net_worth,preferred_asset,education_level,employment_type,risk_profile,expected_return
23,9526,3,1,1,3,Education,Yearly,1,9,338140,Real Estate,PhD,Freelance,Moderate,2.0
59,16898,2,5,8,14,House,Monthly,1,1,1890254,Mixed,PhD,Retired,Speculative,3.38
21,2214,5,2,7,9,Wealth Accumulation,Yearly,3,2,1114632,Real Estate,Masters,Salaried,Speculative,4.05
46,16346,9,19,4,3,Retirement,Quarterly,3,3,548061,Mixed,Bachelors,Retired,Speculative,3.32
35,1212,8,18,6,2,House,Yearly,3,7,1125533,Bonds,Masters,Unemployed,Speculative,2.34
43,2658,6,12,2,19,Wealth Accumulation,Quarterly,2,10,1007582,Real Estate,Bachelors,Freelance,Speculative,4.04
61,13270,3,16,4,6,Wealth Accumulation,Quarterly,1,0,1168454,Stocks,High School,Freelance,Speculative,2.38
51,15029,6,13,8,3,Retirement,Quarterly,1,8,446789,Mixed,Bachelors,Retired,Speculative,4.05
27,6024,5,10,4,25,House,Quarterly,2,0,1656967,Bonds,Masters,Unemployed,Speculative,3.37
53,14039,1,15,4,25,Wealth Accumulation,Quarterly,1,2,1663413,Mixed,Bachelors,Unemployed,Speculative,3.06
31,6141,5,10,4,9,House,Monthly,1,2,976320,Real Estate,PhD,Freelance,Speculative,2.56
48,19178,7,17,9,18,Retirement,Quarterly,4,8,568933,Mixed,Masters,Retired,Speculative,3.36
65,6988,9,1,2,7,Retirement,Monthly,1,2,1162292,Crypto,Masters,Unemployed,Speculative,3.19
32,14777,1,7,7,28,House,Yearly,4,2,844369,Crypto,Masters,Unemployed,Speculative,2.75
25,6578,3,13,3,2,Retirement,Yearly,3,1,1921747,Stocks,Bachelors,Freelance,Speculative,4.74
31,16051,8,1,4,1,Wealth Accumulation,Monthly,0,3,1595252,Mixed,High School,Unemployed,Speculative,3.28
40,4845,6,12,1,5,House,Monthly,4,10,824663,Real Estate,PhD,Unemployed,Speculative,2.19
57,12882,5,9,3,27,Wealth Accumulation,Yearly,1,7,421212,Real Estate,Bachelors,Retired,Speculative,2.23
38,15247,10,7,2,27,House,Monthly,3,5,1063316,Crypto,High School,Freelance,Speculative,3.72
33,12484,2,6,7,24,Education,Monthly,0,0,1653110,Mixed,PhD,Freelance,Speculative,2.0
62,1378,3,12,6,3,Wealth Accumulation,Quarterly,0,4,182091,Real Estate,Masters,Retired,Aggressive,4.35
35,4293,2,18,1,7,Wealth Accumulation,Yearly,3,10,307884,Bonds,High School,Freelance,Speculative,4.8
64,12630,1,14,8,6,House,Monthly,3,9,1710565,Real Estate,Masters,Freelance,Speculative,2.0
41,14660,7,1,9,27,House,Monthly,0,10,999265,Mixed,Masters,Unemployed,Speculative,3.45
43,17608,3,4,1,29,Wealth Accumulation,Monthly,0,7,1262764,Crypto,Masters,Salaried,Speculative,3.48
42,1737,7,18,5,1,Retirement,Quarterly,1,0,1403232,Bonds,Bachelors,Salaried,Speculative,5.22
62,17619,7,0,7,28,Wealth Accumulation,Yearly,4,5,979438,Real Estate,PhD,Unemployed,Speculative,4.33
58,13470,8,6,2,23,Education,Yearly,4,10,701666,Stocks,PhD,Unemployed,Speculative,2.29
46,18095,1,17,6,19,Retirement,Monthly,0,6,1730709,Stocks,PhD,Salaried,Speculative,2.97
32,17117,5,0,8,20,Retirement,Monthly,0,4,759113,Crypto,PhD,Retired,Speculative,2.04
62,15779,10,0,8,14,House,Quarterly,2,3,702025,Bonds,PhD,Retired,Speculative,2.76
18,19272,9,6,8,10,House,Monthly,0,6,788008,Stocks,Bachelors,Freelance,Speculative,2.27
42,18643,7,16,6,2,Wealth Accumulation,Monthly,4,8,573193,Stocks,Bachelors,Freelance,Speculative,2.0
24,8271,1,5,6,11,Wealth Accumulation,Quarterly,1,3,1498985,Real Estate,High School,Salaried,Speculative,5.25
26,18132,8,19,3,16,House,Monthly,2,2,1400967,Mixed,PhD,Freelance,Speculative,2.01
41,13178,3,11,2,17,Wealth Accumulation,Yearly,4,9,887356,Real Estate,Bachelors,Unemployed,Speculative,3.91
18,15490,4,19,5,5,Retirement,Yearly,1,3,881120,Real Estate,Masters,Retired,Speculative,2.49
61,14863,4,14,9,22,Wealth Accumulation,Yearly,2,4,1706942,Crypto,PhD,Unemployed,Speculative,2.0
25,2823,10,12,4,27,Retirement,Quarterly,2,8,850306,Real Estate,Masters,Unemployed,Speculative,2.69
41,7852,8,11,5,18,House,Quarterly,2,10,1408052,Bonds,Bachelors,Retired,Speculative,4.56
28,14072,1,1,6,16,Wealth Accumulation,Yearly,2,0,354988,Bonds,High School,Freelance,Moderate,3.17
68,12133,8,17,6,10,Retirement,Yearly,2,8,61025,Mixed,High School,Freelance,Moderate,4.75
34,16111,9,3,4,6,Education,Quarterly,2,8,1515579,Stocks,Bachelors,Unemployed,Speculative,3.56
25,7519,9,9,4,22,Education,Monthly,3,7,1072861,Stocks,Masters,Retired,Speculative,2.0
52,2777,5,10,8,24,Education,Monthly,1,9,1213958,Mixed,Masters,Freelance,Speculative,2.91
52,18606,4,5,5,8,Retirement,Quarterly,4,7,1200379,Mixed,Bachelors,Retired,Speculative,3.68
50,15772,4,5,5,6,Wealth Accumulation,Yearly,0,7,984965,Real Estate,Masters,Unemployed,Speculative,3.13
22,14621,9,8,9,23,Education,Quarterly,4,3,909878,Crypto,PhD,Unemployed,Speculative,2.73
59,12859,8,19,4,4,House,Yearly,3,6,1732545,Stocks,PhD,Salaried,Speculative,2.83
56,19161,10,12,7,5,House,Quarterly,3,1,353806,Stocks,Masters,Retired,Speculative,3.95
58,10496,10,4,5,6,House,Quarterly,2,2,161812,Mixed,Bachelors,Retired,Moderate,3.45
45,8490,7,5,9,15,Education,Quarterly,3,7,1797047,Mixed,High School,Freelance,Speculative,3.49
24,9893,3,3,8,6,Education,Quarterly,4,3,1016570,Stocks,High School,Salaried,Speculative,4.14
26,3989,4,5,8,19,Wealth Accumulation,Quarterly,3,9,1850915,Stocks,High School,Retired,Speculative,2.0
25,9343,9,17,3,25,Retirement,Quarterly,4,10,1549620,Real Estate,Bachelors,Salaried,Speculative,3.44
29,18709,8,12,9,20,House,Yearly,2,5,1335871,Stocks,Bachelors,Salaried,Speculative,3.48
51,12914,1,2,8,8,Wealth Accumulation,Yearly,2,10,860515,Mixed,PhD,Freelance,Speculative,3.49
50,9998,3,9,3,13,Retirement,Monthly,3,7,1862751,Bonds,Masters,Unemployed,Speculative,4.61
65,3722,10,3,1,4,Education,Quarterly,0,7,1887786,Bonds,High School,Retired,Speculative,3.97
40,5656,2,14,5,22,Retirement,Monthly,2,4,1009668,Bonds,Masters,Salaried,Speculative,3.54
41,18709,2,11,4,17,House,Monthly,1,10,200894,Real Estate,Masters,Salaried,Moderate,2.34
54,5133,8,14,8,14,Retirement,Quarterly,1,6,25990,Bonds,Bachelors,Retired,Moderate,3.81
52,2242,6,9,6,18,Retirement,Quarterly,2,0,1815272,Crypto,Bachelors,Retired,Speculative,3.46
61,9539,6,11,5,15,Education,Monthly,3,4,93996,Crypto,Masters,Retired,Speculative,3.0
57,2831,4,7,9,22,Education,Monthly,2,2,1255440,Real Estate,High School,Unemployed,Speculative,4.2
39,18953,1,2,6,19,Wealth Accumulation,Quarterly,3,3,1992441,Bonds,PhD,Unemployed,Speculative,2.64
44,8246,7,6,3,11,Education,Quarterly,4,0,819978,Mixed,Bachelors,Retired,Speculative,3.54
52,19302,8,17,6,7,Education,Quarterly,0,0,1273851,Real Estate,High School,Salaried,Speculative,2.84
18,4232,2,2,4,1,House,Yearly,0,2,731145,Stocks,Bachelors,Unemployed,Speculative,3.37
52,4758,2,14,5,3,House,Monthly,4,3,814401,Real Estate,PhD,Salaried,Speculative,3.65
54,6997,1,1,6,19,Retirement,Monthly,4,2,1930397,Crypto,PhD,Freelance,Speculative,2.22
64,19739,4,14,9,28,House,Monthly,4,1,1402245,Mixed,PhD,Retired,Speculative,4.24
31,11972,6,12,3,1,Wealth Accumulation,Yearly,0,10,450652,Bonds,Masters,Salaried,Speculative,3.95
20,16368,5,19,1,4,Wealth Accumulation,Monthly,2,6,288108,Crypto,Masters,Salaried,Speculative,3.39
18,2824,4,9,2,24,Retirement,Quarterly,1,9,1287327,Bonds,PhD,Retired,Speculative,2.95
22,11683,4,7,8,11,Wealth Accumulation,Yearly,3,8,241749,Bonds,PhD,Unemployed,Moderate,2.8
43,5060,10,15,4,7,Wealth Accumulation,Monthly,1,10,918205,Real Estate,Masters,Retired,Speculative,5.24
31,1404,7,15,7,7,Education,Yearly,3,2,601704,Real Estate,PhD,Freelance,Speculative,3.07
56,19105,7,1,2,14,Retirement,Yearly,0,8,1185560,Crypto,Masters,Unemployed,Speculative,2.5
44,12017,2,8,8,15,Wealth Accumulation,Quarterly,2,7,1098305,Bonds,PhD,Salaried,Speculative,4.69
26,4845,7,7,9,5,Retirement,Yearly,1,4,871489,Real Estate,PhD,Salaried,Speculative,5.53
32,12384,2,10,7,14,Wealth Accumulation,Quarterly,4,10,831772,Crypto,PhD,Salaried,Speculative,2.36
32,17448,4,0,1,13,House,Quarterly,4,5,368852,Bonds,Masters,Salaried,Moderate,2.53
43,10491,1,10,2,20,Retirement,Monthly,4,0,1881158,Stocks,PhD,Freelance,Speculative,2.0
59,14112,5,17,9,26,House,Quarterly,1,5,1046771,Stocks,Masters,Retired,Speculative,2.94
30,12785,1,14,7,22,Retirement,Monthly,2,8,764595,Crypto,High School,Retired,Speculative,3.02
68,1968,4,8,3,18,House,Monthly,2,6,1777967,Stocks,High School,Unemployed,Speculative,3.25
49,1368,9,8,5,1,Education,Monthly,4,8,630738,Mixed,Masters,Retired,Speculative,2.06
56,9424,8,0,1,13,House,Quarterly,1,4,1371721,Crypto,PhD,Unemployed,Speculative,3.05
66,3242,6,6,3,23,Wealth Accumulation,Monthly,4,4,74860,Crypto,Bachelors,Unemployed,Aggressive,3.33
69,4083,8,11,4,29,Education,Quarterly,3,4,1488099,Bonds,Bachelors,Retired,Speculative,3.04
49,14322,5,9,4,20,House,Quarterly,3,5,1802749,Mixed,PhD,Unemployed,Speculative,4.34
21,2469,7,18,7,7,Education,Monthly,1,3,1290314,Crypto,Bachelors,Salaried,Speculative,3.88
47,5725,8,15,5,6,Education,Quarterly,3,9,1905461,Real Estate,Masters,Unemployed,Speculative,4.36
54,5259,7,5,9,27,Wealth Accumulation,Monthly,0,8,284703,Crypto,Masters,Freelance,Speculative,2.48
40,4622,4,10,7,9,House,Monthly,0,6,1832655,Mixed,PhD,Retired,Speculative,2.87
56,11292,5,18,2,28,Education,Monthly,0,2,329293,Crypto,Bachelors,Retired,Speculative,2.86
62,18207,10,18,8,10,Wealth Accumulation,Yearly,3,9,1965927,Stocks,High School,Salaried,Speculative,4.1
32,4431,6,17,2,22,Retirement,Quarterly,2,6,1453936,Mixed,PhD,Retired,Speculative,3.63
60,5151,6,14,7,3,Retirement,Yearly,0,10,1725754,Real Estate,High School,Retired,Speculative,2.35
46,5213,9,15,5,7,Education,Yearly,4,2,537066,Mixed,PhD,Salaried,Speculative,3.32
53,16235,10,13,6,25,Education,Quarterly,2,2,1510399,Crypto,High School,Freelance,Speculative,5.58
30,9989,2,7,4,11,Education,Quarterly,1,3,1330309,Real Estate,Bachelors,Unemployed,Speculative,2.0
49,1779,6,7,5,26,Wealth Accumulation,Monthly,3,1,1960020,Real Estate,Masters,Salaried,Speculative,2.25
24,16351,3,1,5,12,Wealth Accumulation,Yearly,4,7,1644387,Real Estate,Bachelors,Freelance,Speculative,4.03
68,12042,2,5,7,12,House,Quarterly,1,0,1354993,Stocks,High School,Unemployed,Speculative,3.06
39,6534,6,12,4,13,Retirement,Monthly,3,9,158475,Mixed,High School,Freelance,Moderate,4.05
45,4306,4,12,5,22,Education,Quarterly,3,0,1129217,Crypto,PhD,Freelance,Speculative,4.05
19,3902,5,11,4,23,Education,Quarterly,4,10,1409157,Stocks,High School,Salaried,Speculative,5.11
59,14391,5,1,4,8,Wealth Accumulation,Monthly,3,0,1813030,Real Estate,Masters,Salaried,Speculative,2.0
62,4718,3,19,8,4,Wealth Accumulation,Quarterly,3,3,1482568,Crypto,Masters,Unemployed,Speculative,3.54
23,1021,4,11,5,21,House,Monthly,3,0,1660069,Bonds,Bachelors,Retired,Speculative,4.43
45,2500,3,16,9,20,Retirement,Yearly,2,2,828239,Crypto,Masters,Salaried,Speculative,4.86
45,10034,7,5,5,1,Education,Monthly,0,6,203183,Bonds,Masters,Unemployed,Moderate,2.45
61,16799,1,6,8,6,Wealth Accumulation,Quarterly,4,2,1828981,Bonds,PhD,Salaried,Speculative,4.9
61,4641,6,5,3,23,Retirement,Yearly,2,1,243196,Real Estate,PhD,Freelance,Moderate,2.0
37,1191,4,3,7,2,House,Yearly,4,9,913666,Bonds,High School,Retired,Speculative,2.93
47,14306,1,8,1,22,Retirement,Monthly,2,5,1180053,Stocks,Bachelors,Retired,Speculative,3.98
28,14414,1,4,5,14,Education,Monthly,3,7,230835,Real Estate,PhD,Salaried,Moderate,2.9
45,9587,5,9,2,27,Wealth Accumulation,Monthly,3,3,1590883,Bonds,PhD,Salaried,Speculative,3.43
42,5662,5,14,8,18,Education,Yearly,2,3,50729,Mixed,PhD,Salaried,Moderate,3.05
56,5326,10,7,6,10,Retirement,Monthly,3,10,783406,Stocks,High School,Salaried,Speculative,3.73
50,10065,7,3,5,29,Wealth Accumulation,Quarterly,0,1,1252875,Mixed,Masters,Freelance,Speculative,6.02
18,11471,4,4,3,21,House,Yearly,4,4,1037190,Crypto,Bachelors,Retired,Speculative,3.24
44,13641,9,6,1,1,House,Monthly,3,9,1673311,Stocks,Masters,Freelance,Speculative,3.73
69,10196,4,5,8,3,Wealth Accumulation,Yearly,1,7,792866,Mixed,PhD,Retired,Speculative,3.76
30,13726,7,12,5,20,House,Quarterly,2,0,1213617,Mixed,PhD,Retired,Speculative,2.79
58,16651,5,18,9,4,House,Quarterly,2,1,1597458,Real Estate,PhD,Retired,Speculative,2.98
20,9536,5,9,7,18,Wealth Accumulation,Quarterly,3,0,540413,Crypto,PhD,Freelance,Speculative,3.66
56,13944,6,14,1,8,Education,Monthly,2,3,1574622,Stocks,Masters,Retired,Speculative,2.36
23,7273,8,2,1,22,Retirement,Monthly,1,6,1239537,Stocks,PhD,Freelance,Speculative,2.59
25,7284,5,17,7,9,Education,Yearly,2,10,127655,Stocks,Bachelors,Retired,Speculative,3.78
44,9817,3,13,7,22,Retirement,Monthly,1,2,1009666,Bonds,PhD,Freelance,Speculative,3.68
26,19062,6,2,9,19,Retirement,Yearly,2,7,1693116,Stocks,Bachelors,Retired,Speculative,4.78
54,9414,2,10,2,28,Wealth Accumulation,Monthly,2,5,1833483,Bonds,High School,Freelance,Speculative,3.29
50,18127,8,9,7,2,House,Quarterly,1,1,674330,Real Estate,Bachelors,Unemployed,Speculative,3.43
68,17846,8,16,2,9,House,Monthly,4,8,243918,Bonds,High School,Unemployed,Speculative,2.0
59,18952,3,12,2,3,Retirement,Monthly,0,8,1947093,Crypto,High School,Unemployed,Speculative,2.46
61,12539,8,1,5,22,Retirement,Monthly,1,6,1220356,Bonds,Bachelors,Salaried,Speculative,5.15
41,14993,9,12,9,26,Wealth Accumulation,Quarterly,0,9,980301,Crypto,High School,Unemployed,Speculative,2.0
32,14451,5,18,9,2,Retirement,Yearly,2,7,1262082,Crypto,Masters,Unemployed,Speculative,5.15
49,15692,5,4,1,7,Education,Monthly,4,9,93658,Crypto,Bachelors,Unemployed,Moderate,2.45
49,19120,6,15,7,17,Retirement,Quarterly,1,0,1069502,Crypto,Masters,Freelance,Speculative,4.37
41,14334,7,9,3,25,Education,Monthly,4,5,24976,Stocks,Masters,Unemployed,Moderate,2.96
58,8903,3,11,1,17,Wealth Accumulation,Monthly,1,8,801861,Crypto,High School,Salaried,Speculative,5.22
69,16629,5,19,2,9,Retirement,Quarterly,3,5,1029994,Mixed,Masters,Freelance,Speculative,2.0
66,18740,1,12,6,27,House,Monthly,1,2,1667269,Real Estate,PhD,Salaried,Speculative,3.94
66,2014,10,15,2,1,Wealth Accumulation,Monthly,0,1,1305464,Mixed,High School,Unemployed,Speculative,5.58
69,11860,5,0,2,1,Retirement,Monthly,3,7,374522,Stocks,Masters,Salaried,Aggressive,2.54
29,18438,4,8,4,8,Retirement,Monthly,2,10,849335,Crypto,High School,Unemployed,Speculative,3.82
56,2764,1,15,3,17,Education,Monthly,1,3,723584,Bonds,Masters,Freelance,Speculative,3.55
19,7009,7,18,8,8,Retirement,Quarterly,0,0,1033441,Stocks,High School,Retired,Speculative,3.12
20,10604,1,14,8,19,Education,Quarterly,2,7,161227,Real Estate,High School,Retired,Moderate,2.23
66,17012,8,17,6,4,Education,Monthly,0,0,389815,Bonds,PhD,Retired,Speculative,3.95
54,1667,10,11,4,18,House,Monthly,2,1,1570531,Bonds,Bachelors,Retired,Speculative,2.08
66,4370,2,13,7,13,House,Yearly,1,0,833826,Crypto,High School,Retired,Speculative,2.98
34,6976,10,2,9,22,House,Quarterly,4,7,974586,Real Estate,PhD,Retired,Speculative,2.0
66,18778,5,3,2,7,Wealth Accumulation,Monthly,2,2,348350,Real Estate,High School,Freelance,Moderate,2.09
19,9613,6,5,6,26,House,Yearly,4,8,1042483,Bonds,PhD,Salaried,Speculative,5.06
19,6599,9,15,7,3,Education,Quarterly,2,10,1924302,Real Estate,Bachelors,Freelance,Speculative,2.63
45,4650,7,12,1,14,Retirement,Yearly,4,6,938299,Mixed,Bachelors,Salaried,Speculative,3.08
40,13349,6,11,6,9,Education,Yearly,1,5,1161408,Crypto,PhD,Unemployed,Speculative,2.91
54,10894,5,11,8,3,House,Monthly,0,10,697577,Crypto,PhD,Unemployed,Speculative,4.08
49,4190,6,1,7,7,Retirement,Monthly,1,5,358270,Mixed,High School,Salaried,Moderate,2.86
50,16345,4,12,2,15,Education,Quarterly,2,9,1838223,Mixed,High School,Freelance,Speculative,3.55
18,9789,1,2,2,4,Retirement,Yearly,3,0,1218111,Real Estate,PhD,Unemployed,Speculative,4.04
36,1391,9,12,4,5,Education,Yearly,0,7,1429064,Bonds,Masters,Salaried,Speculative,2.66
19,18459,5,1,5,28,Retirement,Monthly,4,9,1683705,Real Estate,Masters,Unemployed,Speculative,2.21
61,3650,8,18,5,9,Retirement,Quarterly,0,10,1851215,Mixed,PhD,Unemployed,Speculative,5.41
43,14600,7,8,2,3,House,Monthly,0,2,836743,Crypto,Bachelors,Unemployed,Speculative,5.41
49,15317,8,19,7,16,Wealth Accumulation,Quarterly,1,2,403380,Crypto,High School,Freelance,Speculative,2.0
23,19768,1,0,8,16,House,Yearly,2,2,1573422,Crypto,PhD,Freelance,Speculative,3.76
49,18193,9,12,2,19,Retirement,Quarterly,1,10,823477,Real Estate,Masters,Retired,Speculative,2.89
21,16563,1,1,4,25,Retirement,Yearly,2,8,1999470,Mixed,Masters,Salaried,Speculative,4.51
28,7895,3,14,3,9,House,Quarterly,3,4,1836696,Bonds,High School,Retired,Speculative,3.45
34,18543,8,18,4,29,Education,Monthly,1,1,943065,Real Estate,Bachelors,Freelance,Speculative,2.0
55,2531,1,15,5,20,Retirement,Monthly,3,3,129129,Crypto,Bachelors,Freelance,Speculative,3.61
41,6481,1,10,6,1,Education,Monthly,2,6,1300330,Mixed,PhD,Salaried,Speculative,3.75
22,11874,6,14,2,17,House,Quarterly,0,9,1526791,Bonds,PhD,Retired,Speculative,3.67
69,7163,5,5,6,12,Wealth Accumulation,Yearly,3,0,1421562,Stocks,Masters,Retired,Speculative,4.55
51,6264,6,13,9,9,Wealth Accumulation,Monthly,3,1,1300682,Real Estate,PhD,Salaried,Speculative,4.61
23,18615,3,5,8,22,Retirement,Quarterly,2,7,102469,Stocks,Bachelors,Freelance,Moderate,2.74
39,16890,10,18,1,5,Education,Quarterly,2,7,37323,Mixed,Masters,Freelance,Aggressive,2.0
